Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link 
Finance & Banking Coordinator,Turning Point for Consultancies and Development,"Cairo, Egypt",3 days ago,Part Time - Freelance / Project,Experienced · 5 - 20 Yrs of Exp · Accounting/Finance · Analyst/Research· Banking· Banks· Finance· Financial· Financial Analysis· Financial Institutions· Accounting· English,
Clinical/Technical Service Engineer - Indoor& Outdoor - Cairo,Sigma for Imp & Exp & Opera hearing Solutions,"Cairo, Egypt",3 days ago,Full Time,Entry Level · 0 - 2 Yrs of Exp · males_only · Customer Service/Support · Engineering - Mechanical/Electrical · Engineering - Other· Biomedical· Biomedical Engineering· Chemistry· communications· Customer Service· Engineering· Information Technology (IT),
Online English Instructor,English Capsules,"Cairo, Egypt",3 days ago,Part Time - Freelance / Project - Work From Home,Experienced · 2 - 3 Yrs of Exp · Education/Teaching· Communication· English· FELT· CELTA· Instructor· Management· Skills· Education· Teaching,
Senior Test Automation Engineer,LxT,"Mohandessin, Giza, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Engineering· Software Development· Software Testing· JIRA· Software Engineering· Selenium· Software Development Life Cycle· ISTQB,
Software Quality Coach Auditor/ Specialist,FlairsTech,"Maadi, Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality· Coaching· Communication skills· Monitoring· Performance Evaluation· English· Call Center· Communication· Auditing,
Accountant,Mercon Developments,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 4 Yrs of Exp · Accounting/Finance· Accounting· Finance· Communication· Communication skills· Financial Analysis· Financial Management· Financial Reporting· MS Office,
Order Management Specialist,Nahdet Misr Publishing Group,"Giza, Egypt",3 days ago,Full Time,Experienced · 2+ Yrs of Exp · Logistics/Supply Chain· Business Administration· Logistics· Microsoft Office· ERP· SAP· Oracle· Order Management,
Senior Full Stack Developer,Cashcall,"Maadi, Cairo, Egypt",3 days ago,Full Time,Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Startup· Information Technology (IT)· Telecommunication· Computer Science· Software Development· Software Engineering· Software· Java,
Senior Network Engineer,Finstek,"Cairo, Egypt",3 days ago,Full Time - Part Time,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Network· Azure· Networking· BGP· OSPF· Routing Protocols· Amazon AWS· Cloud,
Quality Coach Supervisor,FlairsTech,"Maadi, Cairo, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Quality· Call Center· quality· English,
Content Creator,Andalusia Group,"Alexandria, Egypt",3 days ago,Internship,Entry Level · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing· Editing· editing skills· Management· Marketing· media· English· Skills,
Receptionist,Mercon Developments,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Entry Level · 0 - 3 Yrs of Exp · females_only · Administration· Admin· Administration· Office management· Microsoft Office,
Logistics & Shipping Specialist,LIVING IN INTERIORS  EGYPT,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Experienced · 5+ Yrs of Exp · Logistics/Supply Chain· Shipping· Logistics· Supply Chain· Negotiation· Communication· furniture· Communication skills,
Full Stack Developer - PHP & ReactJS Full Time,Tqniat Lab L.L.C,"Nasr City, Cairo, Egypt",3 days ago,Full Time - Work From Home,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· PHP· CSS· Laravel· javaScript· Computer Science· PHP Developer· React· Python,
Senior PHP Backend Developer,Queen Tech Solutions,"Heliopolis, Cairo, Egypt",3 days ago,Full Time,Experienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Computer Engineering· Information Technology (IT)· Web Development· OOP· javaScript· jQuery,
Airport Representative,Menatours,"Dokki, Giza, Egypt",3 days ago,Full Time,Experienced · 2+ Yrs of Exp · Tourism/Travel· Airport· Tourism· Travel· Customer Service· Customer Care,
IT Specialist,Trufla,"Heliopolis, Cairo, Egypt",3 days ago,Full Time,Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Communication· Computer Science· Installation· IT· Science· Technical Support,
Medical Call Center (Pharmacist),GROOVY Medical Spa,"Heliopolis, Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Pharmaceutical· Call Center· Customer Service· Customer Care· Customer Support· Pharmacy· Pharmaceutical Industry,
Freight Forwarding Sales Executive,Confidential,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Experienced · 5 - 15 Yrs of Exp · Customer Service/Support · Logistics/Supply Chain · Sales/Retail· Freight Forwarding· Logistics· Logistics Management· Sales· English· Computer Skills· Sales Target,
Airline Ticketing Agent & Indoor Sales Representative,Menatours,"Dokki, Giza, Egypt",3 days ago,Full Time,Experienced · 2 - 3 Yrs of Exp · Sales/Retail · Tourism/Travel· Amadeus· Airlines· Customer Support· Sales· sales skills· Travel· Customer Care,
Procurement Specialist,efinance,"Abu Rawash, Giza, Egypt",3 days ago,Full Time,Experienced · 2 - 5 Yrs of Exp · Purchasing/Procurement· IT Procurement· Purchasing· Procurement· Information technology· English,
Earthing Manager,Teba United,"Nasr City, Cairo, Egypt",3 days ago,Full Time,Manager · 7 - 10 Yrs of Exp · Operations/Management · Engineering - Mechanical/Electrical· Earthing· Grounding· Electrical Engineering,
Accountant,Tristar Cargo System,"Sheraton, Cairo, Egypt",3 days ago,Full Time,Experienced · 2+ Yrs of Exp · Accounting/Finance· Accounting· Finance· Commerce· AP· AR· Business Administration· Financial Analysis· Financial Management· English,
Operations Manager ( Currently Working In Freight Forwarding Company is A MUST ),Confidential,"Nasr City, Cairo, Egypt",3 days ago,Full Time,Manager · 6 - 15 Yrs of Exp · Logistics/Supply Chain · Operations/Management· Logistics· Freight Forwarding· Freight· Supply Chain· Custom Clearance· English· Sales· Operations,
Sales & Distribution Specialist - Food Sector,Akhnaton for Trading & Distributing,"Cairo, Egypt",3 days ago,Full Time,Entry Level · 0 - 2 Yrs of Exp · Sales/Retail· Sales· sales skills· Sales Target· Customer Service· Distribution,
Senior React Developer,CROCOSOFT,"New Cairo, Cairo, Egypt",3 days ago,Full Time - Work From Home,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Redux· Git· front-end· JavaScript· React· English· Information Technology (IT)· RESTful,
Content Creator Intern,Vexls,"Maadi, Cairo, Egypt",3 days ago,Internship,Student · 0 - 1 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing· Content Writing· Content Creation· Content Marketing· SEO· Copywriting· Journalism· arabic· English Translation,
DX Program Manager,Giza Systems,"Cairo, Egypt",3 days ago,Full Time,Manager · 15+ Yrs of Exp · IT/Software Development · Operations/Management · Project/Program Management· ITIL· Information Technology (IT)· Big Data· Programming· PMP· Engineering· Project Management,
Senior Solution Architect - Cairo,Giza Systems,"Cairo, Egypt",3 days ago,Full Time,Experienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Information Technology (IT)· Engineering· Software Development· Software· SQL· Solution Architecture· Java,
Medical Representative,Confidential,"Maadi, Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical· Medical· Communication· Pharmacy· Presentation· Presentation Skills· sales skills· Sciences,
HR Manager,Confidential,"6th of October, Giza, Egypt",3 days ago,Full Time,Manager · 8 - 12 Yrs of Exp · Human Resources · Operations/Management· Human Resources (HR)· Human Resources· Education· Personnel· Arabic· English· HR· Psychology,
Software Tester,Spark Systems,"Sheikh Zayed, Giza, Egypt",3 days ago,Full Time,Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology· API Testing· Computer Science· Information Technology (IT)· Software Testing· Software· Testing· English,
HR Intern,Eagle Chemicals,"6th of October, Giza, Egypt",3 days ago,Internship,Student · Human Resources· Microsoft Office· HR· HR Functions· Recruitment· Computer Skills· Human Resources (HR),
Technical Support Specialist,FlairsTech,"Maadi, Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Customer Service/Support · IT/Software Development· Communication· Networking· SQL· Active Directory· SMTP· Troubleshooting· Technical Support,
Parent Relations Executive,Confidential,"6th of October, Giza, Egypt",3 days ago,Full Time,Experienced · 2+ Yrs of Exp · Administration · Customer Service/Support· Customer Service· Customer Support· Customer Care· Parent Relations· Marketing· Social Media· English· Arabic,
Technical Support Specialist,Rashideen Egypt for Trade,"Beheira, Egypt",3 days ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology· Customer Support· FMCG· Technical Support· Microsoft· Customer Care· Customer Service,
Electrical Maintenance Engineer ( Animal Manufacturing ),Milkys  The Milkman,"Noubaria, Beheira, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical· Electrical Engineering· Production· Engineering· Maintenance,
Import Specialist - Shipping,Confidential,"Bab Sharq, Alexandria, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Operations/Management· Logistics· Shipping· Operations· English· Communication· Operation· Supply Chain· Communication Skills,
Maintenance Section Head,Rotografia,"Giza, Egypt",3 days ago,Full Time,Experienced · 5 - 10 Yrs of Exp · Installation/Maintenance/Repair · Operations/Management · Engineering - Mechanical/Electrical· Engineering· Mechanical Engineering· Maintenance· Maintenance Engineering· Maintenance Management· Management· Microsoft Office,
Senior Quality Engineer,Delta Egypt For Lighting,"Obour City, Cairo, Egypt",3 days ago,Full Time,Experienced · 2 - 5 Yrs of Exp · Quality · Engineering - Mechanical/Electrical· Electrical· Electrical Engineering· Engineering· Lighting,
Import Operations,Link Cargo,"Zamalek, Cairo, Egypt",3 days ago,Full Time,Experienced · 3 - 7 Yrs of Exp · Logistics/Supply Chain· import operations· Import / Export· Operations· freight forwarder· Cargo Handling· Cargo· Client Relationships· Export· Import,
English Instructor For Kids / Adults - October / Maadi,American Academy,"6th of October, Giza, Egypt",3 days ago,Part Time,Entry Level · 1 - 3 Yrs of Exp · Education/Teaching · Training/Instructor· Education· English Instructing· Teaching· Planning· English· Training· English Teaching· Instructing,
Project Development Manager,NEW GIZA,"Giza, Egypt",3 days ago,Full Time,Experienced · 7 - 12 Yrs of Exp · Business Development · IT/Software Development · Project/Program Management· Business Development· Engineering· Information Technology (IT)· Project Management· Experience,
General Accountant,Sysmex Egypt LLC,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance· SAP· Accounting· Administration· analytical· Business Administration· Finance· Financial Analysis· Financial Accounting· Accounts Payable,
Senior IT Support Engineer,NEW GIZA,"Giza, Egypt",3 days ago,Full Time,Experienced · 10 - 12 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Information Technology (IT)· Software Development· Software Engineering,
Administrative Assistant,London International Patient Services,"Sheraton, Cairo, Egypt",3 days ago,Full Time,Experienced · 2 - 4 Yrs of Exp · Administration· Administration· Office Management· Microsoft Office· Secretary· English· Communication· CEO· Executive· Personal Assistant,
Customer Service Agent - Inbound Calls ( Corprate- English account ),Etisalat Egypt,"Maadi, Cairo, Egypt",3 days ago,Full Time,Entry Level · 0 - 11 Yrs of Exp · Customer Service/Support· Customer Service· Experience· Customer Care· Customer Support· Call Center,
Junior Accountant,Infinity Corp,"Giza, Egypt",3 days ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · males_only · Accounting/Finance· Finance· Financial Management· Accounting· Microsoft Office· Financial Analysis· Odoo,
Front Of House Representative / Receptionist,Confidential,"Giza, Egypt",3 days ago,Full Time,Entry Level · 0 - 2 Yrs of Exp · Administration · Customer Service/Support· Administration· Front Desk· Office Management· Admin· English· Arabic· Receptionist· Administrative,
On-ground Debt Collector,Capiter,"Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · Accounting/Finance· Recovery· Collection· Google Sheets· Microsoft Excel· Debt Management· Debt Collection,
IT Support Engineer,NEW GIZA,"Giza, Egypt",3 days ago,Full Time,Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other· Computer Science· Engineering· Information Technology (IT)· Software Development,
School Head Of Admission & Registration,Confidential,"Giza, Egypt",3 days ago,Full Time,Manager · 3+ Yrs of Exp · Administration · Education/Teaching· Admission· Registration· Admin· Administration· Business Development· School· English,
Production Engineer Supervisor,Prifix,"Bourj Alarab, Alexandria, Egypt",3 days ago,Full Time,Manager · 7 - 15 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering - Other· Communication· is· Engineering· Manufacturing· Mechanical· Mechanical Engineering· Planning,
Sales Specialist (Insurance),Confidential,"Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · Sales/Retail· Insurance· Sales Target· Sales· sales skills· Insurance Sales,
Marketing Manager,Cairo Complex,"Heliopolis, Cairo, Egypt",3 days ago,Full Time,Manager · 5 - 10 Yrs of Exp · Operations/Management · Marketing/PR/Advertising· Advertising· Communication· Marketing· Social Media· Market Research· Microsoft Office,
Credit Acquisition Agent,Capiter,"Cairo, Egypt",3 days ago,Full Time,Experienced · 2 - 3 Yrs of Exp · Customer Service/Support · Sales/Retail· Customer Acquisition· Communication skills· Customer Service· Sales· Sales Field· Sales Skills,
Telemarketing Specialist,BITechnologies,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Entry Level · 0 - 4 Yrs of Exp · females_only · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail· Telesales· Telamarketing· Business Administration· Sales· Sales Target· Sales Skills· Customer Service,
Technical Office Manager,Construction & Design Co. SAE,"Downtown, Cairo, Egypt",3 days ago,Full Time,Experienced · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture· Engineering· technical office manager· Microsoft Office· English· Civil· Engineering Services· Architecture· Communication,
Mechanical Production Engineer (Food or Drinks Background),Milkys  The Milkman,"Noubaria, Beheira, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical· Animal production· Engineering· Mechanical Engineering· Production,
Social Media Coordinator,Platinum Properties for real estate services,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing· Marketing· Social Media· E-Marketing· Sales· Digital Marketing· Marketing Campaigns,
Brand Manager,National Trade & Distribution,"Mokattam, Cairo, Egypt",3 days ago,Full Time,Manager · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing· Advertising· Branding· Market Research· Marketing· Social Media· Business Administration· Communication,
Contract & CS Specialist,Premier Services and Recruitment Overseas,"Maadi, Cairo, Egypt",3 days ago,Full Time,Experienced · 2 - 4 Yrs of Exp · Customer Service/Support · Legal· Contract· Communication· Contracting· English· Law· Legal· Negotiation· negotiation skills,
HR Administrative Assistants,Ola Chat,"Maadi, Cairo, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Human Resources· Communication· English· Office management· HR· Administration· Microsoft Office· Recruitment· Admin· Human Resources (HR),
Software Development Manager,Hala Consulting,"Nasr City, Cairo, Egypt",3 days ago,Full Time,Manager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· MySQL· Laravel· PHP· Software Development· Information Technology (IT)· Software Engineering· React,
Sharepoint Developer,LINK Development,"Maadi, Cairo, Egypt",3 days ago,Full Time - Work From Home,Experienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Project Management· Computer Science· Information Technology (IT)· Software Development· Sharepoint· EPM· English,
IT Manager,New Plan,"Heliopolis, Cairo, Egypt",3 days ago,Full Time,Manager · 4 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Information Technology (IT)· Network Administration· IT· Management· English· Administration· Computer Engineering,
Store Supervisor,Talabat,"Mokattam, Cairo, Egypt",3 days ago,Full Time,Manager · 5 - 10 Yrs of Exp · Operations/Management · Sales/Retail· Warehouse Manager· Store Management· Stores Management· Sales,
Corporate Sales Representative,8X Egypt,"Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail· Sales· Sales Skills· Sales Target· Customer Service· Business Administration· CRM· Business,
Customer Service Assistant,The IG Club,"Nasr City, Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · Administration · Customer Service/Support · Operations/Management· Customer Service· Customer Support· Customer Care· Sales· Communication,
Senior Software Developer,Wisely Insure,"Sheraton, Cairo, Egypt",3 days ago,Full Time - Work From Home,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· PHP· Information Technology (IT)· Software Engineering· Software Development· Computer Science· Computer Engineering· AJAX· Linux,
HR Specialist,INSIDER,"Cairo, Egypt",3 days ago,Full Time,Experienced · 2+ Yrs of Exp · Human Resources· HR· Human Resources (HR)· Recruitment· HR Functions· Personnel· Payroll· Employee Relations· Training,
Technical Office Engineer,Urban Estate,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art· Architectural Engineering· Architectural· Technical Office· AutoCAD· Revit· 3D Max· 3D· Engineering,
Social Media Consultant (MoHP/FP Sector & NPC),John Snow InC,"Maadi, Cairo, Egypt",3 days ago,Freelance / Project,Experienced · 5+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing· Media· Communication· Marketing· Social Media· English· Mass Communication· E-Marketing· Analytics,
Travel Sales Team Leader,Safa International Travel,"Dokki, Giza, Egypt",3 days ago,Full Time,Manager · 2 - 5 Yrs of Exp · males_only · Customer Service/Support · Sales/Retail · Tourism/Travel· Sales· Sales Skills· Sales Target· Management· Call Center· Tourism· GDS,
IT Help Desk Specialist,Living Yards Developments,"Cairo, Egypt",3 days ago,Full Time,Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Communication skills· Computer Science· Customer Service· Hardware· Help desk· Information technology· Information Technology (IT),
Senior Architectural Finishing Engineer (Immediate Start),AZURE,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Experienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture· Architecture· Construction· Project Management· Engineering· Drawings· Residential Projects· Finishing· AutoCAD· Microsoft Office,
Local Procurement Section Head,Confidential,"Bourj Alarab, Alexandria, Egypt",3 days ago,Full Time,Experienced · 3+ Yrs of Exp · females_only · Logistics/Supply Chain · Purchasing/Procurement· Microsoft Office· Purchasing· Procurement· Communication Skills· English· Supply Chain· Logistics· negotiation skills,
Sales Supervisor,Confidential,"Bourj Alarab, Alexandria, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Sales/Retail· Sales Skills· Sales· Sales Target· Marketing· Negotiation· Communication Skills· Customer Service· Management· Microsoft Office,
Senior SD Consultant,DBS,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Strategy/Consulting· Computer Science· Experience· Consultant· SD,
Creative Web Developer,ParamInfo,"Dubai, United Arab Emirates",3 days ago,Full Time,Experienced · 2 - 10 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology· Creative Designing· Web Development· Vue.js· jQuery· JavaScript· HTML· Information Technology (IT),
Storekeeper,Auto caire,"Dawahi, Port Said, Egypt",3 days ago,Part Time,Experienced · 1 - 2 Yrs of Exp · Other· Stocks· Stock Control,
Head Of Risk Management,"The Micro, Small & Medium Enterprise Development Agency","Dokki, Giza, Egypt",3 days ago,Full Time,Senior Management · 18+ Yrs of Exp · Accounting/Finance · Operations/Management · Quality· Accounting· Commerce· credit· Risk· Risk Management· Management· Analysis,
Sales Specialist,Rotografia,"Giza, Egypt",3 days ago,Full Time,Entry Level · 0 - 2 Yrs of Exp · Sales/Retail· Customer· Customer Service· Sales Specialist· Sales Target· sales skills· Sales· Skills,
Quality Engineer,Ghabbour Auto,"Abu Rawash, Giza, Egypt",3 days ago,Full Time,Entry Level · 0 - 3 Yrs of Exp · Quality · Engineering - Mechanical/Electrical· Supplier Quality· Quality Assurance· QA· QC· Engineering· Supply Chain· Logistics· Automotive,
Maintenance Section Head .,Wadi Group,"Abu Simbel, Aswan, Egypt",3 days ago,Full Time,Manager · 7 - 10 Yrs of Exp · males_only · Installation/Maintenance/Repair · Manufacturing/Production· Maintenance· Electrical Engineering,
UI and UX Design and Development,ParamInfo,"Abu Dhabi, United Arab Emirates",3 days ago,Full Time,Experienced · 4 - 8 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology· UI Design· UX Design· Web Development· Adobe Creative Suite· CSS· Design· HTML5,
Economy Game Designer,Limbic Entertainment (Cairo Office),"Heliopolis, Cairo, Egypt",3 days ago,Full Time,Experienced · 5+ Yrs of Exp · Creative/Design/Art · IT/Software Development· Game· Game design· Games,
Mid-level Java Engineer,Moselay Media Development,"Dokki, Giza, Egypt",3 days ago,Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Java· Software Development· Computer Science· Agile· Development· Engineering· English,
International Business Development Specialist,Projecs International,"Sheikh Zayed, Giza, Egypt",3 days ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail· Business Development· Marketing· Sales· sales skills· Telesales· English· Offshore,
Account Director,Kijamii,"Maadi, Cairo, Egypt",3 days ago,Full Time,Senior Management · 8 - 10 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing· Marketing· Digital Advertising· Online Advertising· Advertising· Advertising Media· Social Media· Entertainment,
Discipline Coordinator,Manhattan Schools,"Maadi, Cairo, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · males_only · Administration· Disciplinary· Administration· School,
ERP Support Engineer,Confidential,"Nasr City, Cairo, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Engineering· ERP Support· Information Technology (IT)· Support· ERP· System Analysis,
Banking Call Center Agent,Majorel Egypt,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Entry Level · Banking · Customer Service/Support· Customer Care· Customer Support· Customer Service· English· Call Center· Banking,
Head Of English Department (Prep Stage),GEMS Education,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Experienced · 2+ Yrs of Exp · Education/Teaching· Teaching· Education· School Teacher· PGCE· PGDE· HOD· Management· School,
Customer Service Representative (CSR),Property Plus,"Smouha, Alexandria, Egypt",3 days ago,Full Time,Experienced · 2 - 4 Yrs of Exp · females_only · Customer Service/Support· Customer· Customer Service· Sales· Customer Support· Customer Care· CRM· Communication· Service· Support,
CEO Personnel Assistant,Property Plus,"Smouha, Alexandria, Egypt",3 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · females_only · Administration · Operations/Management· Administration· Admin· Office management· Planning· Microsoft Office,
Real Estate Agent,Property Plus,"Smouha, Alexandria, Egypt",3 days ago,Full Time,Experienced · 0 - 3 Yrs of Exp · Sales/Retail· Sales· Real Estate· Sales Target· sales skills· Experience· Communication· English· Communication Skills,
Architecture Engineer,Dream House,"Sheraton, Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · females_only · Engineering - Construction/Civil/Architecture· Architecture· AutoCAD· Design· 3D Max· 3D· Photoshop· Engineering· English· Computer Skills,
Front End Developer,Khales,"Giza, Egypt",3 days ago,Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Design· SEO· jQuery· JavaScript· Software Development· Front end· Adobe illustrator· Computer Science,
English Teacher (Primary & Prep),GEMS Education,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Experienced · 2+ Yrs of Exp · Education/Teaching· Teaching· Education· School Teacher· PGCE· PGDE· International School· English· Primary· School,
Graphic Designer & Video Maker,Horizon Chemical for Special Chemicals,"Alexandria, Egypt",3 days ago,Full Time - Part Time,Experienced · 2+ Yrs of Exp · Creative/Design/Art· Adobe Photoshop· Creative· Design· Graphic Design· Photography· Video Editing· Visual Content· Digital· Content,
Software Testing Engineer,Khales,"Giza, Egypt",3 days ago,Full Time,Experienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology· Quality Control· Quality Assurance· Software Testing· Computer Sceince· ISTQB· Payments· FinTech,
Branch Manager - Car Protection Center,ElTarek Automotive,"Giza, Egypt",3 days ago,Full Time,Manager · 5 - 10 Yrs of Exp · Administration · Operations/Management · Sales/Retail· Branch Management· Customer Service· Sales· sales skills,
Customer Service Agent - Cairo,Edutech Labs Fze,"Cairo, Egypt",3 days ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Customer Service/Support· Customer Service· Customer Support· Customer Care· English,
Technology Operation Engineer,Khales,"Giza, Egypt",3 days ago,Full Time,Entry Level · 1+ Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology· Operations Support· APIs· SQL Server· JAVAscript· Computer Science· English· Information Technology (IT),
Senior Software Quality Assurance Engineer,SSC Egypt,"Nasr City, Cairo, Egypt",3 days ago,Full Time,Experienced · 4 - 8 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology· Agile· Computer Science· Engineering· Management· quality· Quality Assurance· Quality Control,
Procurement Manager,Confidential,"Nasr City, Cairo, Egypt",3 days ago,Full Time,Manager · 10 - 20 Yrs of Exp · Operations/Management · Purchasing/Procurement· Construction· MS Office· Procurement· Purchasing· Communication· English· Communication skills,
Customer Service Agent - Alexandria,Edutech Labs Fze,"Alibrahimiyyah, Alexandria, Egypt",3 days ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Customer Service/Support· Customer Service· Customer Support· Customer Care· English,
Embedded Software Developer,Khales,"Giza, Egypt",3 days ago,Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· ISO 7816· C++· epayment applications· C· developer· Software Development· Computer Science· Programming,
Sales Operations Supervisor,Khales,"Giza, Egypt",3 days ago,Full Time,Manager · 10+ Yrs of Exp · Sales/Retail· Accounting· Communication· business· Banking· Leadership· Operations· English· Sales· sales skills,
Office Manager,Elite's Home,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Entry Level · 3 - 4 Yrs of Exp · Administration· Administration· Office Management· Communication Skills· Business Analysis,
Reconciliation & Settlement Supervisor,Khales,"Giza, Egypt",3 days ago,Full Time,Manager · 12 - 14 Yrs of Exp · Banking· Analysis· Accounting· settlement· Reconciliation· Banking· Microsoft Office,
Receivables Accountant,Al Watania Poultry,"Badrasheen, Giza, Egypt",3 days ago,Full Time,Experienced · 2 - 5 Yrs of Exp · Accounting/Finance· Accounts Receivable· Accounting· Finance· FMCG· ERP· ERP System· Financial Accounting,
L&D Coordinator,Aramex International,"Sheikh Zayed, Giza, Egypt",3 days ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · Human Resources · Training/Instructor· Human Resources (HR)· learning· Trainer· Training· Communication skills,
