Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Software Testing Architect,Elibre DMCC Egypt,"Maadi, Cairo, Egypt",2 hours ago,Full Time,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development· AutoCAD· architectural· Revit· JIRA· Software Testing,
Talent Management Manager (Large Fin-Tech Company),Pillars,"Cairo, Egypt",2 hours ago,Full Time,Manager · 7 - 15 Yrs of Exp · Human Resources· Talent management· Training· L&D· Learning & Development,
Electrical Engineering Teacher,NASS Academy,"Cairo, Egypt",2 hours ago,Full Time,Experienced · 1 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Education/Teaching· Education· Teaching· School· Electrical Engineering· Electrical· English,
General C++ Qt Application Developer,Atomica,"Cairo, Egypt",2 hours ago,Full Time - Work From Home,Experienced · 1+ Yrs of Exp · IT/Software Development· Computer Science· Information Technology (IT)· developer· C++· C· Qt· application Developer· Software Development,
High School English Teacher,NASS Academy,"Cairo, Egypt",2 hours ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Education/Teaching· Education· English· School· Teaching· Communication· English Teaching,
Real Estate Property Consultant - New Cairo,Confidential,"New Cairo, Cairo, Egypt",2 hours ago,Full Time,Experienced · 2 - 3 Yrs of Exp · Sales/Retail· Real Estate· Sales Target· Communication· New Cairo· Presentation· Property Consultant· Sales Skills· Sales· Property,
Merchandizing Supervisor,SAVOLA,"Cairo, Egypt",2 hours ago,Full Time,"Experienced · 3 - 5 Yrs of Exp · males_only · Sales/Retail· Sales, Trade Marketing· Retail Sales",
Sales Representative - Ceramic \ Sanitary,Confidential,"Jeddah, Saudi Arabia",2 hours ago,Full Time,Experienced · 3 - 10 Yrs of Exp · males_only · Customer Service/Support · Installation/Maintenance/Repair · Sales/Retail· Sales· Customer Service· Customer Care· Customer Support· Telesales· Sanitary· Ceramic,
Administrative Assistant,Fawry Banking & Payment Technology Services,"Smart Village, Giza, Egypt",2 hours ago,Full Time,Experienced · 4 - 6 Yrs of Exp · Administration · Customer Service/Support · Operations/Management· Administration· Communication· Management· Office management· Organizational skills,
Refrigeration & Air Conditioning Teacher / مدرس تبريد و تكيف,NASS Academy,"New Cairo, Cairo, Egypt",2 hours ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Education/Teaching· Teaching· Education· Refrigeration· Air Conditioning· Engineering· Mechanical,
Physics/Chemistry Teacher,NASS Academy,"Cairo, Egypt",2 hours ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Engineering - Other · Education/Teaching· Chemistry· Physics· Teaching· Education· English· Engineering,
Plumbing Technical Trainer - مدرب سباكة وشبكات متخصصة,NASS Academy,"Cairo, Egypt",2 hours ago,Full Time - Part Time,Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Training/Instructor· Mechanical Engineering· Electrical Engineering· Plumbing· Training· Teaching· Maintenance· Installation,
Technical Support Engineer (Outsourcing),Interact Technology Solutions,"Maadi, Cairo, Egypt",2 hours ago,Full Time - Shift Based,Experienced · 2+ Yrs of Exp · Customer Service/Support · Installation/Maintenance/Repair · IT/Software Development· IT· Engineering· Technical Support· Software· Computer Science· Information Technology (IT)· Electrical,
Java Developer,ARPUPLUS,"Agouza, Giza, Egypt",2 hours ago,Full Time,Experienced · 1 - 5 Yrs of Exp · IT/Software Development· Computer Science· Java· Spring· HTML5· jQuery· Linux,
